image_name,signal_b50,signal_b800,signal_b2000,pixel_ratio
labels_mask_case_id_TCGA-YA-A8S7_3_1_cell_expansion_7_0_threshold_0_7_facet_size_3.0.csv.tif,24090.04874553966,12296.88340151767,6487.8953086126685,
labels_mask_case_id_TCGA-CC-A8HT_3_4_cell_expansion_13_0_threshold_0_8_facet_size_3.0.csv.tif,22765.582444566582,5639.708756821316,1997.9000661900366,
labels_mask_case_id_TCGA-CC-A1HT_4_1_cell_expansion_15_0_threshold_0_5_facet_size_3.0.csv.tif,24778.209757480734,17154.599248759856,11028.705197528474,
labels_mask_case_id_TCGA-K7-AAU7_2_0_cell_expansion_11_0_threshold_0_6_facet_size_3.0.csv.tif,22560.85642068167,4510.1062819637455,1250.1265502618166,
labels_mask_case_id_TCGA-G3-A7M6_2_0_cell_expansion_5_0_threshold_0_6_facet_size_3.0.csv.tif,24561.98612716961,15844.638122840857,10144.715577438728,
labels_mask_case_id_TCGA-G3-A5SK_2_0_cell_expansion_11_0_threshold_0_7_facet_size_3.0.csv.tif,24461.170737385888,14925.328044951191,8987.15081734095,
labels_mask_case_id_TCGA-CC-5261_2_4_cell_expansion_9_0_threshold_0_8_facet_size_3.0.csv.tif,24241.03807425233,13211.143185014842,7049.252850120955,
labels_mask_case_id_TCGA-YA-A8S7_0_1_cell_expansion_11_0_threshold_0_8_facet_size_3.0.csv.tif,23478.79550788618,9045.837692286237,4167.681629099693,
labels_mask_case_id_TCGA-K7-AAU7_1_1_cell_expansion_3_0_threshold_0_4_facet_size_3.0.csv.tif,24208.158044002124,13862.194638621784,9399.600996398764,
labels_mask_case_id_TCGA-YA-A8S7_2_4_cell_expansion_3_0_threshold_0_5_facet_size_3.0.csv.tif,22449.204203362955,4127.227824507435,1090.3206382292456,
labels_mask_case_id_TCGA-K7-AAU7_2_3_cell_expansion_3_0_threshold_0_7_facet_size_3.0.csv.tif,22874.26950095544,6106.3688107037515,2556.726995535561,
labels_mask_case_id_TCGA-BC-A69I_1_3_cell_expansion_3_0_threshold_0_7_facet_size_3.0.csv.tif,23509.444177317582,9447.553927331268,4952.035290663362,
labels_mask_case_id_TCGA-BC-A69I_0_1_cell_expansion_1_0_threshold_0_4_facet_size_3.0.csv.tif,23297.501333060693,8461.936575073914,4722.797751168993,
labels_mask_case_id_TCGA-CC-A3MA_2_1_cell_expansion_11_0_threshold_0_4_facet_size_3.0.csv.tif,24917.824526329023,18508.69556226864,12885.769382111635,4.91213351375733
labels_mask_case_id_TCGA-CC-A8HT_0_4_cell_expansion_7_0_threshold_0_8_facet_size_3.0.csv.tif,22864.64339710514,6065.618292175115,2183.5413350096105,3.4464346292150077
labels_mask_case_id_TCGA-CC-A3MA_1_4_cell_expansion_13_0_threshold_0_6_facet_size_3.0.csv.tif,24829.44647457547,17358.249651347207,10954.026757479722,
labels_mask_case_id_TCGA-CC-A3MA_0_4_cell_expansion_9_0_threshold_0_8_facet_size_3.0.csv.tif,22769.041736826748,5525.703335830648,1875.2762267244461,
labels_mask_case_id_TCGA-DD-AAED_0_4_cell_expansion_15_0_threshold_0_5_facet_size_3.0.csv.tif,24656.523688795838,15862.391645371456,9182.380610695736,
labels_mask_case_id_TCGA-CC-A3MA_1_0_cell_expansion_9_0_threshold_0_4_facet_size_3.0.csv.tif,24865.215445538648,17731.758977996644,11400.992104172254,
labels_mask_case_id_TCGA-CC-A8HT_3_0_cell_expansion_11_0_threshold_0_8_facet_size_3.0.csv.tif,23497.628803499112,9080.48287652119,4051.651354113338,
labels_mask_case_id_TCGA-CC-A8HT_1_1_cell_expansion_7_0_threshold_0_8_facet_size_3.0.csv.tif,23112.311336366227,7123.106372558967,2796.8707419536267,0.6434948339853546
labels_mask_case_id_TCGA-G3-A5SK_1_1_cell_expansion_11_0_threshold_0_5_facet_size_3.0.csv.tif,24366.448719023156,14030.597428184072,7840.070855060895,2.3033923080800442
labels_mask_case_id_TCGA-CC-A8HT_3_1_cell_expansion_5_0_threshold_0_8_facet_size_3.0.csv.tif,22908.921346295658,6245.540788869711,2409.618570175794,
labels_mask_case_id_TCGA-DD-AAED_4_4_cell_expansion_5_0_threshold_0_6_facet_size_3.0.csv.tif,24797.354695321203,17338.663013279333,11200.838634444866,
labels_mask_case_id_TCGA-G3-A7M6_4_0_cell_expansion_5_0_threshold_0_5_facet_size_3.0.csv.tif,24780.551021930958,17822.859792029034,12792.101623901346,
labels_mask_case_id_TCGA-CC-A1HT_4_1_cell_expansion_11_0_threshold_0_7_facet_size_3.0.csv.tif,24507.557821608112,15094.031700988708,8794.6599891039,
labels_mask_case_id_TCGA-K7-AAU7_2_2_cell_expansion_5_0_threshold_0_8_facet_size_3.0.csv.tif,22345.177496387743,3629.566922968249,804.5775681363448,
labels_mask_case_id_TCGA-CC-5261_3_0_cell_expansion_9_0_threshold_0_4_facet_size_3.0.csv.tif,24701.047032344017,16458.5910899375,10183.389883612344,
labels_mask_case_id_TCGA-YA-A8S7_0_0_cell_expansion_13_0_threshold_0_7_facet_size_3.0.csv.tif,24224.428435801343,13072.508206755932,7092.03289169448,
labels_mask_case_id_TCGA-YA-A8S7_0_3_cell_expansion_1_0_threshold_0_7_facet_size_3.0.csv.tif,23283.266407374125,8344.635728138772,4494.268292935138,
labels_mask_case_id_TCGA-K7-AAU7_0_4_cell_expansion_1_0_threshold_0_5_facet_size_3.0.csv.tif,23147.811610033797,7535.044852300493,4079.226211873805,
labels_mask_case_id_TCGA-YA-A8S7_1_3_cell_expansion_13_0_threshold_0_6_facet_size_3.0.csv.tif,24667.38759422276,16165.351625752275,9861.877437263005,
labels_mask_case_id_TCGA-YA-A8S7_4_4_cell_expansion_3_0_threshold_0_6_facet_size_3.0.csv.tif,22434.36102004295,3912.75627487793,854.2043243057425,
labels_mask_case_id_TCGA-DD-AAED_3_0_cell_expansion_15_0_threshold_0_8_facet_size_3.0.csv.tif,24221.68237631634,12951.02482493477,6606.043363710049,
labels_mask_case_id_TCGA-BC-A69I_0_2_cell_expansion_9_0_threshold_0_7_facet_size_3.0.csv.tif,23524.503403225805,9466.553813305658,4503.239148159648,0.6439895645193658
labels_mask_case_id_TCGA-CC-A1HT_4_1_cell_expansion_1_0_threshold_0_4_facet_size_3.0.csv.tif,23855.53412412032,11672.510922486987,7334.925326691675,
labels_mask_case_id_TCGA-CC-A8HT_2_1_cell_expansion_13_0_threshold_0_7_facet_size_3.0.csv.tif,24269.836174465763,13503.915910948765,7373.060308066073,
labels_mask_case_id_TCGA-G3-A7M6_0_4_cell_expansion_9_0_threshold_0_4_facet_size_3.0.csv.tif,24708.471866256426,16544.356553352445,10287.020875349412,
