path,text
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-DD-AAED_1_1_cell_expansion_15_0_threshold_0_4.png,"signal_b50=24764.1, signal_b800=16678"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-CC-A1HT_3_2_cell_expansion_3_0_threshold_0_6.png,"signal_b50=24266.1, signal_b800=13602.9"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-CC-5261_3_3_cell_expansion_9_0_threshold_0_5.png,"signal_b50=24909.1, signal_b800=18294.2"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-DD-AAED_4_3_cell_expansion_7_0_threshold_0_4.png,"signal_b50=24630.2, signal_b800=16045.9"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-G3-A7M6_0_2_cell_expansion_3_0_threshold_0_5.png,"signal_b50=23950.7, signal_b800=12003.9"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-G3-A5SK_1_2_cell_expansion_3_0_threshold_0_6.png,"signal_b50=23711.2, signal_b800=10718.2"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-K7-AAU7_1_0_cell_expansion_1_0_threshold_0_4.png,"signal_b50=22845.7, signal_b800=6078.13"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-DD-AAED_2_4_cell_expansion_13_0_threshold_0_8.png,"signal_b50=24199.6, signal_b800=12803.4"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-CC-A3MA_3_4_cell_expansion_5_0_threshold_0_6.png,"signal_b50=24439.5, signal_b800=14962.8"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-G3-A7M6_0_3_cell_expansion_11_0_threshold_0_5.png,"signal_b50=24560.8, signal_b800=15387.1"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-CC-5261_2_1_cell_expansion_5_0_threshold_0_7.png,"signal_b50=24039, signal_b800=12358"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-BC-A69I_0_4_cell_expansion_3_0_threshold_0_6.png,"signal_b50=23841.2, signal_b800=11303.5"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-CC-A1HT_2_4_cell_expansion_5_0_threshold_0_8.png,"signal_b50=23670.9, signal_b800=9897.33"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-CC-A3MA_3_1_cell_expansion_7_0_threshold_0_6.png,"signal_b50=24736.1, signal_b800=16956.3"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-G3-A7M6_4_4_cell_expansion_13_0_threshold_0_7.png,"signal_b50=24136.5, signal_b800=12583.6"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-G3-A5SK_1_0_cell_expansion_13_0_threshold_0_8.png,"signal_b50=23603.1, signal_b800=9821.67"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-CC-A1HT_1_3_cell_expansion_9_0_threshold_0_6.png,"signal_b50=24758, signal_b800=16695.8"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-G3-A5SK_1_0_cell_expansion_13_0_threshold_0_6.png,"signal_b50=24562.1, signal_b800=15630.6"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-YA-A8S7_2_1_cell_expansion_5_0_threshold_0_4.png,"signal_b50=24453, signal_b800=14772"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-G3-A5SK_1_0_cell_expansion_7_0_threshold_0_7.png,"signal_b50=24322.2, signal_b800=14056.2"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-YA-A8S7_0_4_cell_expansion_7_0_threshold_0_5.png,"signal_b50=24602.1, signal_b800=16024.2"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-CC-A8HT_3_1_cell_expansion_9_0_threshold_0_5.png,"signal_b50=24334.7, signal_b800=13945.2"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-BC-A69I_3_0_cell_expansion_1_0_threshold_0_5.png,"signal_b50=23102, signal_b800=7397.98"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-DD-AAED_0_1_cell_expansion_7_0_threshold_0_8.png,"signal_b50=24127.8, signal_b800=12698.6"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-BC-A69I_1_1_cell_expansion_15_0_threshold_0_8.png,"signal_b50=23567.2, signal_b800=9388.76"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-G3-A5SK_0_1_cell_expansion_13_0_threshold_0_8.png,"signal_b50=23699.4, signal_b800=10108.1"
/workspace/binary_PNG/binary_labels_mask_case_id_TCGA-K7-AAU7_0_1_cell_expansion_9_0_threshold_0_7.png,"signal_b50=22677.9, signal_b800=5190.89"
