image_name;signal_b50;signal_b800
../binary_PNG/binary_labels_mask_case_id_TCGA-YA-A8S7_3_1_cell_expansion_7_0_threshold_0_7.png;24090.048745539665;12296.883401517673
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-A8HT_3_4_cell_expansion_13_0_threshold_0_8.png;22765.58244456658;5639.708756821316
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-A1HT_4_1_cell_expansion_15_0_threshold_0_5.png;24778.20975748073;17154.599248759856
../binary_PNG/binary_labels_mask_case_id_TCGA-K7-AAU7_2_0_cell_expansion_11_0_threshold_0_6.png;22560.85642068167;4510.106281963746
../binary_PNG/binary_labels_mask_case_id_TCGA-G3-A7M6_2_0_cell_expansion_5_0_threshold_0_6.png;24561.986127169606;15844.638122840855
../binary_PNG/binary_labels_mask_case_id_TCGA-G3-A5SK_2_0_cell_expansion_11_0_threshold_0_7.png;24461.17073738589;14925.328044951191
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-5261_2_4_cell_expansion_9_0_threshold_0_8.png;24241.03807425233;13211.143185014842
../binary_PNG/binary_labels_mask_case_id_TCGA-YA-A8S7_0_1_cell_expansion_11_0_threshold_0_8.png;23478.795507886185;9045.837692286235
../binary_PNG/binary_labels_mask_case_id_TCGA-K7-AAU7_1_1_cell_expansion_3_0_threshold_0_4.png;24208.158044002124;13862.194638621784
../binary_PNG/binary_labels_mask_case_id_TCGA-YA-A8S7_2_4_cell_expansion_3_0_threshold_0_5.png;22449.204203362955;4127.227824507435
../binary_PNG/binary_labels_mask_case_id_TCGA-K7-AAU7_2_3_cell_expansion_3_0_threshold_0_7.png;22874.26950095544;6106.368810703751
../binary_PNG/binary_labels_mask_case_id_TCGA-BC-A69I_1_3_cell_expansion_3_0_threshold_0_7.png;23509.444177317582;9447.553927331268
../binary_PNG/binary_labels_mask_case_id_TCGA-BC-A69I_0_1_cell_expansion_1_0_threshold_0_4.png;23297.501333060693;8461.936575073913
